plot,richness,leaves_damaged,height,pollinator_count
1,5,138,60.666666666666664,11
2,17,505,31.88888888888889,1
3,12,269,26,7
4,5,120,25.88888888888889,5
5,15,458,19.666666666666668,42
6,13,244,20.444444444444443,3
7,6,105,33.666666666666664,3
8,8,172,35.33333333333333,38
9,14,352,19.666666666666668,41
10,15,557,20.22222222222222,4
11,9,207,38,6
12,5,104,36.55555555555556,16
13,2,88,57.88888888888889,3
14,7,148,50.666666666666664,20
15,26,739,13,15
16,11,237,18.666666666666668,6
17,9,293,10.11111111111111,31
18,24,495,13.11111111111111,14
19,6,228,41,14
20,6,133,34,3
21,4,129,44.111111111111114,48
22,9,227,54.88888888888889,21
23,25,791,25.555555555555554,10
24,10,214,19.666666666666668,4
25,15,355,22.88888888888889,4
26,23,640,31.22222222222222,24
27,3,69,44.66666666666667,47
28,6,129,27.11111111111111,47
29,6,120,43.44444444444444,19
30,6,133,22.666666666666668,9
31,20,464,26,2
32,12,319,54.333333333333336,37
33,5,140,60.55555555555556,22
34,16,415,13.88888888888889,36
35,13,335,31,18
36,6,156,43.666666666666664,10
37,21,471,25.22222222222222,4
38,7,135,47.55555555555556,41
39,10,209,33.88888888888889,39
40,15,326,21.22222222222222,2
